title,image_url,video_url,instructions,teaching_points,position,starting_zone,ending_zone,situation,hockey_skills,complexity
DEFENCE – LOOSE PUCK RETRIEVALS,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/defence-loose-puck-retrievals.jpg?w=640&h=360&c=2&f=ffffff&q=60,,Defensive player uses deception on puck retrieval to deceive the fore-checker; Defensive player approaches puck from a variety on angle to deceive F1; Defense will self-feed a puck and make a deceptive move before they touch the puck. Both faking net wheel then up and faking up and then turning toward the net need to be practiced,"Defensive players need to shoulder check, decide what they will do then approach the loose puck at an angle to deceive F1; Turning the toes, leaning and “selling” a deceptive move will create time and space for the breakout; It is important to give the fore-checker time to react to your move",['Defence'],Unknown,Unknown,['Defensive Play'],"['Skating', 'Positioning', 'Angling', 'Forecheck']",Intermediate
DEFENCE – LOOSE PUCK RETRIEVALS - #2,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/defence-loose-puck-retrievals-2.jpg?w=640&h=360&c=2&f=ffffff&q=60,,Defensive player uses deception on puck retrieval to deceive the fore-checker; Defensive player approaches puck from a variety on angle to deceive F1; Coaches will feed a puck and players need to make a deceptive move before they touch the puck. Both faking net wheel then up and faking up and then turning toward the net need to be practiced; Add a forechecker with passive resistance for a game like scenario,"Defensive players need to shoulder check, decide what they will do then approach the loose puck at an angle to deceive F1; Turning the toes, leaning and “selling” a deceptive move will create time and space for the breakout; It is important to give the fore-checker time to react to your move",['Defence'],Unknown,Unknown,['Defensive Play'],"['Skating', 'Stickhandling', 'Positioning', 'Angling']",Intermediate
DEFENCE – RETRIEVAL – WHEEL - PASS MIDDLE,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/defence-retrieval-wheel-pass-middle.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Defensive player uses deception on puck retrieval to deceive the fore-checker; Defensive player approaches puck from a variety on angle to deceive F1; Defensive player will make a deceptive move before touching the puck. Player will fake a quick up, wheel the net and pass to front of line","Defensive players need to shoulder check, decide what they will do then approach the loose puck at an angle to deceive F1; Turning the toes, leaning and “selling” a deceptive move will create time and space for the breakout; It is important to give the fore-checker time to react to your move; Players will fake a quick up and wheel the net passing to the front of the line; If no pressure, defensive player will keep the puck on their forehand when wheeling the net",['Defence'],Defensive Zone,Defensive Zone,['Breakout'],"['Skating', 'Stickhandling', 'Positioning', 'Angling', 'Communication']",Intermediate
DEFENCE – RETRIEVALS – INSIDE - OUTSIDE,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/defence-retrievals-inside-outside.jpg?w=640&h=360&c=2&f=ffffff&q=60,,Defensive player uses deception on puck retrieval to deceive the fore-checker; Defensive player approaches puck from a variety on angle to deceive F1; Defensive player will make a deceptive move before touching the puck. Player will fake a quick up and turn inside and the second repetition will fake wheel and will quick up,"Defensive players need to shoulder check, decide what they will do then approach the loose puck at an angle to deceive F1; Turning the toes, leaning and “selling” a deceptive move will create time and space for the breakout; It is important to give the fore-checker time to react to your move; Players will go twice faking each way once",['Defence'],Unknown,Unknown,['Defensive Play'],"['Skating', 'Positioning', 'Angling']",Intermediate
DEFENCE – RETRIEVALS – WHEEL WITH SHOT,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/defence-retrievals-wheel-with-shot.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Defensive player uses deception on puck retrieval to deceive the fore-checker; Defensive player approaches puck from a variety on angle to deceive F1; Defensive player will make a deceptive move before touching the puck. Player will fake a quick up, wheel the net and pass to front of line; D at blue line will shoot the puck","Defensive players need to shoulder check, decide what they will do then approach the loose puck at an angle to deceive F1; Turning the toes, leaning and “selling” a deceptive move will create time and space for the breakout; It is important to give the fore-checker time to react to your move; Players will fake a quick up and wheel the net passing to the front of the line. Defensemen on the blue line should use good shooting options to get the puck to the net; If no pressure, defensive player will keep the puck on their forehand when wheeling the net",['Defence'],Defensive Zone,Defensive Zone,"['Breakout', 'Offensive Play']","['Skating', 'Stickhandling', 'Positioning', 'Communication']",Intermediate
DEFENCE – SKATING – TRANSITION SEQUENCE,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/defence-skating-transition-sequence.jpg?w=640&h=360&c=2&f=ffffff&q=60,,Players start with toes up ice around the circle. Players will do 2 “toes first” transitions followed by two “heels and hips” transition going from forward to backwards. All backwards to forward pivots should be without crossing the feet; Coaches can send two players at once and could also send one from each side.,Good warmup for defenseman to practice transition pivot options; Defensive players try to keep their speed and limit crossing their feet; “Heels and hips” will require one cross over; Good transition skating principles apply,['Defence'],Unknown,Unknown,['Transition'],['Skating'],Intermediate
DEFENSE - SHOOTING – 3 SHOT SEQUENCE FROM POINT,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/defence-shooting-3-shot-sequence-point.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Defenseman will take 3 shoots: one pulling and shooting, a one timer and a spin and shoot; Defensemen will be on their strong side and will alternate side to side","Defensemen must keep their head up and use peripheral vision; Get as close to the blue line as possible.; Use good basic shooting techniques on these options; Once mastered, defenseman can start to use deceptive moves before shooting",['Defence'],All Zones,All Zones,[],['Shooting'],Intermediate
DEFENCE – SHOOTING - STOP AND SHOOT,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/defence-shooting-stop-and-shoot.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Defensemen will stop the puck, turn and immediately shoot on net; Quick release with head up is key","Receive the puck, circle it and shoot as quickly as possible anticipating you have a lane to the net; Head up and hit the net",['Defence'],Unknown,Unknown,[],['Shooting'],Intermediate
PUCK CONTROL – PUCK PROTECTION SEQUENCE,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/puck-control-puck-protection-sequence.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Place two pucks at the top of the faceoff circle. On the whistle, players leave the corner and skate around one of the pucks, protecting the puck back down the side of the circle.; Complete both directions before taking a shot on net.; Progression: Add a defender",Use one hand to keep the puck out wide in order to protect from defenders.; Emphasize keeping your feet moving by using single leg heel pushes for acceleration.,[],Unknown,Unknown,['Small Area Game'],['Stickhandling'],Intermediate
PUCK CONTROL – PUCK PROTECTION SEQUENCE #2,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/puck-control-puck-protection-sequence-2.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Place two pucks at the top of the faceoff circle. On the whistle, players leave the corner carrying a puck and skate through the pucks before performing a turn back and protecting the puck back down the center of the circle. Perform both directions before taking a shot on net.; Progression: Add a defender",Use one hand to keep the puck out wide in order to protect from defenders.; Emphasize keeping your feet moving by using single leg heel pushes for acceleration.,[],Unknown,Unknown,['Small Area Game'],"['Skating', 'Stickhandling']",Intermediate
PUCK CONTROL – CIRCLE AGILITY STICKS,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/puck-control-circle-agility-sticks.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Place two ‘danglers’ perpendicular to each other inside the faceoff circle.; On the whistle, players leave the corner with a puck skating around the danglers in a figure 8 pattern working on different skills.",Forehand only; Forehand only – under stick; Forehand only – heel to heel; Forehand only – heel to heel – under stick; Random Moves,[],Unknown,Unknown,[],"['Skating', 'Stickhandling']",Intermediate
PUCK CONTROL – AGILITY STICKS #2,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/puck-control-agility-sticks-2.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Place two ‘danglers’ parallel to each other inside the faceoff circle.; On the whistle, players leave the corner with a puck skating around the danglers in a figure 8 pattern working on different skills.",Puck under stick; Eberle Move – Pull back on backhand; Puck over stick,[],Unknown,Unknown,[],"['Skating', 'Stickhandling']",Intermediate
PUCK CONTROL – PUCK PROTECTION - PUCK UNDER STICK,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/puck-protection-puck-under-stick.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"On the whistle two players skate around the faceoff circle, a puck carrier and a defender. The puck carrier tries to protect the puck from the defender while trying to make moves under the stick of the defender.",Use your body to protect the puck from the defender; Create space by making deceptive moves through the defenders triangle.; Be creative and unpredictable,[],Unknown,Unknown,['Small Area Game'],['Stickhandling'],Intermediate
SHOOTING – SHOOTING SEQUENCE,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/shooting-shooting-sequence.jpg?w=640&h=360&c=2&f=ffffff&q=60,,Players line up in two lines just outside of the blue line. Place two obstacles above the hash marks in the slot.; Players alternate skating towards the obstacles and performing a shooting skill.,Change angle – quick pull/toe drag - wrist shot; Pull to backhand – shot; Eberle move; Cross lanes – Wrist shot,[],All Zones,All Zones,[],"['Skating', 'Shooting', 'Stickhandling']",Intermediate
SHOOTING – FAKE PASS – OFF WING SHOT,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/shooting-fake-pass-off-wing-shot.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Players line up in two lines just outside of the blue line. Place two obstacles above the hash marks in the slot.; Players alternate crossing lanes, faking a pass across, and shooting the puck.",Emphasize looking pass before taking the shot for deception.,[],All Zones,All Zones,['Offensive Play'],"['Shooting', 'Passing']",Intermediate
SHOOTING – OFF WING – 1 KNEE DOWN,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/shooting-off-wing-1-knee-down.jpg?w=640&h=360&c=2&f=ffffff&q=60,,Players line up in two lines just outside of the blue line. Place two obstacles above the hash marks in the slot.; Two players leave at the same time and cross lanes. The puck carrier will pass across and set up the second player for a 1 knee down one-timer.,Use the 1 Knee Down technique to maximize power from your shot.; Focus on picking a corner,[],All Zones,All Zones,['Offensive Play'],"['Shooting', 'Passing']",Intermediate
SCORING – INSIDE EDGE WRAPAROUND,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/scoring-inside-edge-wraparound.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Players line up in two lines outside of the blue line. On the whistle, players alternate skating around the net and perform a wraparound.",Players focus on riding their inside edge while performing the wraparound.,['Forward'],Neutral Zone,Neutral Zone,['Offensive Play'],['Skating'],Intermediate
DEFENCE – BREAKOUT - NET FRONT PASS,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/defence-breakout-net-front-pass.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"D cross and take a onetime shot, tag up at blue line and initiate breakout.; D-D to wing and back to net front D; Used when a team’s forecheck is overloading and net front D is an option",Good shooting options from the point; Tag up and pivot to inside the dots and retrieve; D passes on tape and net front D ready for a breakout pass,['Defence'],Defensive Zone,Offensive Zone,['Breakout'],"['Shooting', 'Passing']",Intermediate
DEFENCE – BREAKOUT – CORNER TO NET FRONT,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/defence-breakout-corner-to-net-front.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"D cross and take a onetime shot, tag up at blue line and initiate breakout.; Retrieve puck, D-D to wing; Retrieve second puck, cut up ice, D-D net front.",Good shooting options from the point; Tag up and pivot to inside the dots and retrieve; D passes on the tape; Eyes up ice looking at all options,['Defence'],Unknown,Unknown,['Breakout'],"['Shooting', 'Passing']",Intermediate
U11 - SKATING – SKATING STATIONS,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/u11-skating-skating-stations.jpg?w=640&h=360&c=2&f=ffffff&q=60,,Have players line up in two lines across from each other. Perform various skating techniques towards the line opposite.,Single Leg Strides; Single Leg Backwards C-cuts; Alternating Single Leg Strides; Alternating Single Leg Backwards C-cuts; Full Speed Forward Sprint; Full Speed Backward Sprint,[],Unknown,Unknown,[],['Skating'],Intermediate
U11 - SKATING AGILITY SKATING STATIONS,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/u11-skating-agility-skating-stations.jpg?w=640&h=360&c=2&f=ffffff&q=60,,Set up two lines of players facing opposite each other with staggered pylons in between them. Perform various agility skating techniques towards the line opposite.,Two Foot Turns; Outside Heel Pumps; Heel to Heel; 360 Tight Turns; Backward/Forward Pivots; Inside Edge Jumps,[],Unknown,Unknown,[],['Skating'],Intermediate
U11 - SKATING – AGILITY SKATING STATIONS #2,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/skating-agility-skating-stations-2.jpg?w=640&h=360&c=2&f=ffffff&q=60,,Place four pylons in a diamond formation with a line of players at each end.; One player leaves at a time skating different agility patterns through the pylons.,"Backward Pivot, Forward Pivot, Weave; Backward Pivot, Stop, Forward Skate; Backward Pivot, 360 Spin, Forward Skate; Progression: Add a chaser",[],Unknown,Unknown,[],['Skating'],Intermediate
